XLocation,YLocation,Strength,Goal
128,29,0,False
207,122,0,False
128,225,1,False
110,94,1,False
53,174,1,False
58,155,1,True
126,271,0,False
207,44,0,False
152,103,0,False
81,36,0,False
124,97,0,False
69,159,0,True
195,267,0,False
149,199,0,False
65,132,0,False
38,134,0,False
57,217,0,False
132,238,0,False
218,231,0,False
90,188,0,False
205,191,0,False
80,76,0,False
208,258,0,False
196,268,1,False
197,141,1,False
62,160,1,False
207,175,1,False
136,255,0,False
113,191,0,False
86,147,0,False
110,241,0,False
104,141,0,False
171,52,0,False
183,263,0,False
251,79,0,False
213,172,0,False
50,176,-1,False
167,266,0,False
119,57,0,False
63,159,1,False
76,112,1,False
103,221,1,False
180,220,1,False
55,93,1,False
175,141,0,False
119,84,1,False
77,162,1,False
77,159,0,False
184,135,0,True
124,249,0,False
126,166,0,False
57,199,0,False
95,16,0,False
229,253,0,False
206,93,0,False
208,34,0,False
67,176,0,False
104,39,1,True
54,133,0,True
39,190,1,False
58,155,1,False
84,11,1,False
87,164,0,False
47,174,0,False
71,125,0,True
42,122,0,False
80,282,0,False
58,148,-1,True
68,122,0,False
77,71,0,False
123,214,0,False
73,237,0,False
49,129,0,False
63,140,0,False
52,163,0,False
136,272,0,False
144,180,0,False
92,82,0,False
54,178,-1,False
45,157,1,False
71,83,0,False
212,140,0,False
69,123,0,False
79,160,0,True
75,273,0,False
55,81,0,False
91,291,0,False
69,140,0,False
70,213,0,False
98,221,0,False
56,141,0,False
209,186,0,False
110,210,0,False
69,143,0,False
208,74,0,False
62,125,0,False
61,164,0,True
53,144,1,False
192,166,1,False
99,25,0,False
62,55,0,False
135,186,1,True
193,54,0,False
74,141,0,True
137,132,0,False
160,187,0,False
110,231,0,False
74,73,0,False
183,44,0,False
195,269,0,False
97,156,0,False
47,228,0,False
80,151,0,True
62,112,0,False
50,171,0,False
105,111,0,False
140,53,0,False
193,155,1,False
129,129,0,False
154,270,0,False
105,152,0,True
145,285,0,False
57,182,0,False
89,202,0,False
116,105,0,False
60,151,0,True
87,89,0,False
76,174,0,True
194,202,1,False
98,231,1,False
151,201,0,False
57,98,0,False
128,35,1,False
209,78,-1,False
71,54,0,False
41,174,0,False
39,164,0,True
132,203,0,False
101,236,0,False
101,67,0,False
63,94,0,False
97,156,0,False
158,161,0,False
30,129,0,True
